count of covariate missing,pctNA,species
24,25.8,Barbastella_barbastellus
19,20.4,Corynorhinus_rafinesquii
18,19.4,Corynorhinus_townsendii
11,11.8,Eptesicus_fuscus
24,25.8,Eptesicus_nilssonii
13,14,Lasionycteris_noctivagans
17,18.3,Lasiurus_borealis
11,11.8,Miniopterus_schreibersii
36,38.7,Murina_hilgendorfi
32,34.4,Murina_leucogaster
32,34.4,Murina_ussuriensis
20,21.5,Myotis_austroriparius
27,29,Myotis_bechsteinii
32,34.4,Myotis_bombinus
32,34.4,Myotis_brandtii
32,34.4,Myotis_chinensis
28,30.1,Myotis_dasycneme
13,14,Myotis_daubentonii
25,26.9,Myotis_emarginatus
17,18.3,Myotis_grisescens
27,29,Myotis_leibii
24,25.8,Myotis_lucifugus
29,31.2,Myotis_macrodactylus
12,12.9,Myotis_myotis
50,53.8,Myotis_mystacinus
23,24.7,Myotis_nattererii
37,39.8,Myotis_oxygnathus
33,35.5,Myotis_septentrionalis
20,21.5,Myotis_sodalis
12,12.9,Myotis_velifer
21,22.6,Myotis_volans
20,21.5,Myotis_yumanensis
16,17.2,Pipistrellus_subflavus
13,14,Plecotus_auritus
