Wilson & Reeder's (2015),Migrate ,Hibernate,Solitary (or Small Clusters),Clusters,Caves,Mines,Bridges,Quarries,Storm Sewer,Leaf Litter,Foliage,Hollow Trees,Buildings,Cliff (rock crevices),Min Temp (C),Max Temp,Develop signs of disease,% Change in ?,,,,,,,,,,,,,,,
Antrozous pallidus,0,1,1,1,1,1,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Artibeus (Artibeus) jamaicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Choeronycteris mexicana ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Corynorhinus rafinesquii,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6,8.9,0,Null,,,,,,,,,,,,,,,
Corynorhinus townsendii ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-3,21,0,Null,,,,,,,,,,,,,,,
Eptesicus (Eptesicus) fuscus,0,1,1,1,1,1,0,0,1,0,0,0,1,0,-10,20,1,14.3,,,,,,,,,,,,,,,
Euderma maculatum,0,1,1,0,0,0,0,0,0,0,0,0,1,1,unk,unk,0,Null,,,,,,,,,,,,,,,
Eumops glaucinus floridanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Eumops perotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Eumops underwoodi,unk,unk,0,0,0,0,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Idionycteris phyllotis,unk,unk,0,0,0,0,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasionycteris noctivagans ,1,1,1,0,0,0,0,0,0,0,1,0,1,1,-0.6,13.3,0,Null,,,,,,,,,,,,,,,
Lasiurus (Dasypterus) ega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Lasiurus (Dasypterus) intermedius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Lasiurus (Dasypterus) xanthinus,0,1,1,0,0,0,0,0,0,0,1,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) blossevillii,1,1,1,0,0,0,0,0,0,0,1,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) borealis,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) cinereus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) cinereus semotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) seminolus,1,1,1,0,0,0,0,0,0,1,1,0,0,0,-6.8,unk,0,Null,,,,,,,,,,,,,,,
Leptonycteris curasoae ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Leptonycteris nivalis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Leptonycteris yerbabuenae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Macrotus californicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Mormoops megalophylla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
