pan,wns_status,genus,adult_body_mass_g,gr_area_km2,gr_max_lat_dd,gr_min_lat_dd,gr_mid_range_lat_dd,gr_max_long_dd,gr_min_long_dd,gr_mid_range_long_dd,hu_pop_den_min_n_km2,hu_pop_den_mean_n_km2,hu_pop_den_5p_n_km2,hu_pop_den_change,precip_mean_mm,temp_mean_01deg_c,wos_hits_x,for_strat_value,wos_hits_y,aridity,sppdens
Barbastella_barbastellus,1,Barbastella,8.31,15.17257792,60.57,27.99,44.28,49.43,-17.33,16.05,3,4.867995882,16,0.00949,57.71,84.24,67,A,4.219507705,0.091574103,263
Corynorhinus_rafinesquii,0,Corynorhinus,9.15,14.10313587,40.66,24.94,32.8,-75.71,-95.31,-85.51,0,3.983413002,6,0.05,102.28,172.06,35,S,3.583518938,0.094378622,100
Corynorhinus_townsendii,0,Corynorhinus,10.3,15.34262554,53.26,16.67,34.97,-79.16,-125.09,-102.12,0,3.415100287,0,0.09,39.48,110.48,41,S,3.737669618,0.040426382,532
Eptesicus_fuscus,1,Eptesicus,17.49,16.40490694,60.21,2.09,31.15,-59.42,-126.58,-93,0,3.787819402,0,0.06,63.98,115.12,1154,A,7.051855623,0.06792581,1056
Eptesicus_nilssonii,1,Eptesicus,10.72,16.13316011,69.97,37.59,53.78,155.92,4.94,80.43,0,3.537475,0,7.92e-4,40.55,2.73,38,A,3.663561646,0.095899158,278
Lasionycteris_noctivagans,0,Lasionycteris,11.02,16.12962346,62.97,23.46,43.21,-60.96,-148.48,-104.72,0,3.372111801,0,0.05,58.16,77.97,138,A,4.934473933,0.075919955,386
Lasiurus_borealis,0,Lasiurus,12.33,14.77046804,47.84,24.94,36.39,-60.96,-93.4,-77.18,0,4.396668911,4,0.04,87.53,119.77,144,A,4.976733742,0.100140721,238
Miniopterus_schreibersii,1,Miniopterus,11.46,17.71607792,50.89,-39.13,5.87,162.39,-17.53,72.43,0,4.559963593,0,0.1,74.56,198.74,172,A,5.153291594,0.055821754,628
Murina_hilgendorfi,1,Murina,NA,13.31607906,57.74,30.98,44.36,144.75,86.54,115.64,0,5.010635294,1,0.00124,69.27,16.48,3,A,1.386294361,0.122923765,197
Murina_leucogaster,0,Murina,7.54,13.37593009,34.59,14.33,24.46,120.1,84.67,102.38,3,5.521780867,7,0.06,121.31,122.73,12,A,2.564949357,0.11625968,425
Murina_ussuriensis,0,Murina,NA,12.05261104,54.41,44.55,49.48,144.75,130.02,137.38,1,3.385068,1,-0.04,47.62,-0.11,6,A,1.945910149,0.094809565,123
Myotis_austroriparius,1,Myotis,7.35,13.68005662,39.51,26.78,33.14,-77.14,-95.76,-86.45,1,3.804660487,6,0.05,102.72,178.18,28,A,3.36729583,0.092669945,87
Myotis_bechsteinii,1,Myotis,9.47,14.65989039,53.88,36.65,45.26,44.73,-9.29,17.72,3,4.945136312,18,0.01,61.16,85.35,85,S,4.454347296,0.101392573,194
Myotis_bombinus,1,Myotis,NA,13.40334563,48.22,30.98,39.6,145.82,123.95,134.89,1,5.408247426,4,0.01,95.43,51.43,2,A,1.098612289,0.134953969,162
Myotis_brandtii,1,Myotis,5.3,16.15170336,66.02,36.01,51.02,143.94,-9.49,67.22,0,4.320417153,1,0.01,45.44,42.96,52,A,3.970291914,0.086060606,310
Myotis_chinensis,0,Myotis,41.99,14.00564233,28.57,17.35,22.96,119.95,97.61,108.78,1,5.490919233,46,0.06,118.99,156.31,7,A,2.079441542,0.102271653,405
Myotis_dasycneme,1,Myotis,15.16,15.70361958,65.1,44.57,54.84,125.67,4.1,64.89,0,4.043928076,1,0.00518,43.12,28.93,42,A,3.761200116,0.100820688,184
