,Pan,Label,MSW05_Order,MSW05_Genus,MSW05_Species,AnnualBP,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X5.6_NeonateBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Log10.mass_specific_production.,WOS_HITS.x,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,torp,mig,IUCN,WOS_HITS.y,aridity,BodySizeRatio,postnatGR,RelAgeSexMat,sppdens,spp.dens.per.km,Craseonycteridae,Emballonuridae,Furipteridae,Hipposideridae,Megadermatidae,Molossidae,Mormoopidae,Mystacinidae,Myzopodidae,Natalidae,Noctilionidae,Nycteridae,Phyllostomidae,Pteropodidae,Rhinolophidae,Rhinopomatidae,Thyropteridae,Vespertilionidae
1,Eidolon_helvum,1,Chiroptera,Eidolon,helvum,1,1,254.61,120.5,182.58,NA,NA,NA,NA,2,164.36,1,NA,1.08,1,261.99,3.877017396,NA,NA,10.81977828,NA,NA,2,1,60.83,4.500476115,NA,NA,NA,16.75691373,18.49,-34.83,-8.17,51.41,-17.53,16.93,0,3.563882964,1,0.13,84.6,233.78,864.91,1524.57,-0.417919759,77,0,0,0,0,0,0,100,0,0,0,Ar,1,1,1,253.31,1,3,NT,4.356708827,0.055491056,65.6716166,0.010249198,NA,959,340.214375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Epomophorus_gambianus,1,Chiroptera,Epomophorus,gambianus,2,NA,134.59,85.27,159.41,NA,NA,NA,NA,2,156.43,1,NA,0.98,2,NA,2.298577072,61.32,NA,2.772588722,NA,NA,2,1,59.99,NA,NA,NA,NA,15.07517589,15.64,3.95,9.79,39.47,-17.53,10.97,1,4.233526626,4,0.12,106.13,257.58,954.23,1569.57,NA,7,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,128.87,1,1,LC,2.079441542,0.067617245,58.55361635,NA,NA,503,185.4002357,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Epomops_franqueti,1,Chiroptera,Epomops,franqueti,2,1,118.99,89.44,135.03,NA,NA,NA,NA,NA,161.77,1,NA,1,2,NA,2.995732274,NA,NA,NA,NA,1.5,2,NA,NA,4.248495242,NA,NA,NA,15.1823352,9.23,-12.19,-1.48,34.79,-5.27,14.76,0,3.83535792,1,0.12,137.29,242.66,1312.49,1561.31,0.070617571,11,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,118.93,NA,NA,NA,2.48490665,0.087932569,39.7198378,NA,NA,613,225.3566614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Hypsignathus_monstrosus,1,Chiroptera,Hypsignathus,monstrosus,2,1,336.97,127.5,226.48,NA,NA,NA,NA,1,125.14,1,NA,1.4,2,NA,3.671224519,150.17,NA,1.481604541,227.99,NA,2,1,NA,5.099378504,NA,NA,NA,15.61225144,13.93,-11.35,1.28,36.29,-16.82,9.73,0,3.775744987,1,0.12,134.45,246.55,1210.09,1561.38,0.134198739,10,0,10,0,0,0,0,90,0,0,0,Ar,1,0,0,335.08,1,1,LC,2.397895273,0.086109723,91.78681344,NA,NA,587,213.6055487,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Micropteropus_pusillus,1,Chiroptera,Micropteropus,pusillus,2,NA,25.38,51.98,76.38,NA,349.79,NA,NA,1,161.77,1,NA,0.99,2,NA,NA,NA,NA,NA,202.08,1.5,2,1,55.18,2.995732274,NA,NA,NA,15.89466498,13.97,-12.82,0.57,38.73,-16.82,10.95,0,3.726175239,1,0.12,124.59,245.19,1153.38,1557.21,0.193203568,3,0,0,0,0,0,0,90,10,0,0,Ar,1,0,0,26.57,NA,NA,NA,1.386294361,0.080008477,NA,NA,NA,700,253.0745378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Miniopterus_inflatus,1,Chiroptera,Miniopterus,inflatus,NA,NA,14.9,48.09,NA,NA,NA,NA,NA,1,91.24,1,NA,0.99,NA,NA,NA,NA,NA,NA,742.46,NA,2,3,NA,NA,NA,NA,NA,14.75703465,9.38,-20.75,-5.68,39.26,9.37,24.32,0,3.89324785,3,0.15,84.1,218.37,943.84,1492.35,NA,10,100,0,0,0,0,0,0,0,0,0,A,1,0,0,14.2,NA,NA,NA,2.397895273,0.056354072,NA,NA,NA,701,260.4282865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Miniopterus_schreibersii,1,Chiroptera,Miniopterus,schreibersii,1,NA,11.46,45.99,NA,NA,723.66,NA,NA,1,182.5,1,NA,0.99,1,168,1.050821625,26.5,NA,8.303999971,666.44,NA,2,3,60.19,2.525728644,NA,NA,NA,17.71607792,50.89,-39.13,5.87,162.39,-17.53,72.43,0,4.559963593,0,0.1,74.56,198.74,679.41,1335.68,0.03336059,172,100,0,0,0,0,0,0,0,0,0,A,1,0,0,11.46,3,2,NT,5.153291594,0.055821754,10.90575197,0.024504187,0.132230159,628,218.4748616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Mops_condylurus,1,Chiroptera,Mops,condylurus,NA,NA,26.59,47.22,NA,0,NA,NA,NA,1,88.64,1,NA,1,2,NA,2.083184528,NA,NA,4.094344562,285.63,NA,2,3,49.99,NA,NA,NA,NA,16.60355789,18.08,-29.64,-5.77,51.41,-17.53,16.93,0,3.581015808,1,0.13,92.42,243.6,922.06,1564.21,NA,23,100,0,0,0,0,0,0,0,0,0,A,1,0,0,28.37,NA,NA,NA,3.17805383,0.059084138,12.7641117,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Myonycteris_torquata,1,Chiroptera,Myonycteris,torquata,2,1,44.92,60.94,99.4,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,2.397895273,30.03,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,15.41372333,10.97,-11.07,-0.04,31.3,-10.88,10.21,0,3.604682295,1,0.12,139.14,244.29,1274.45,1551.97,NA,11,0,0,0,0,0,0,80,20,0,0,Ar,1,0,0,42.23,NA,NA,NA,2.48490665,0.089653795,18.73309502,NA,NA,583,213.1425808,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Rhinolophus_eloquens,1,Chiroptera,Rhinolophus,eloquens,NA,NA,19.15,57,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,13.23736343,6.38,-6.47,-0.04,43.6,28.75,36.18,1,4.530985288,4,0.11,85.48,224.68,1124.83,1579.27,NA,2,100,0,0,0,0,0,0,0,0,0,A,1,0,0,19.05,NA,NA,NA,1.098612289,0.054126274,NA,NA,NA,486,188.1501492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
