,Species,WNS Status,
50,Acerodon_celebensis,NA,
51,Acerodon_humilis,NA,
52,Acerodon_jubatus,NA,
53,Acerodon_leucotis,NA,
54,Acerodon_mackloti,NA,
55,Aethalops_aequalis,NA,
56,Aethalops_alecto,NA,
57,Alionycteris_paucidentata,NA,
58,Ametrida_centurio,NA,
59,Amorphochilus_schnablii,NA,
60,Anoura_caudifer,NA,
61,Anoura_cultrata,NA,
62,Anoura_geoffroyi,NA,
63,Anoura_latidens,NA,
64,Anoura_luismanueli,NA,
65,Anthops_ornatus,NA,
66,Antrozous_pallidus,NA,
67,Aproteles_bulmerae,NA,
68,Ardops_nichollsi,NA,
69,Arielulus_aureocollaris,NA,
70,Arielulus_circumdatus,NA,
71,Arielulus_cuprosus,NA,
72,Arielulus_societatis,NA,
73,Arielulus_torquatus,NA,
74,Ariteus_flavescens,NA,
75,Artibeus_amplus,NA,
76,Artibeus_anderseni,NA,
77,Artibeus_aztecus,NA,
78,Artibeus_cinereus,NA,
79,Artibeus_concolor,NA,
80,Artibeus_fimbriatus,NA,
81,Artibeus_fraterculus,NA,
82,Artibeus_glaucus,NA,
83,Artibeus_gnomus,NA,
84,Artibeus_hirsutus,NA,
85,Artibeus_incomitatus,NA,
86,Artibeus_inopinatus,NA,
87,Artibeus_jamaicensis,NA,
88,Artibeus_lituratus,NA,
89,Artibeus_obscurus,NA,
90,Artibeus_phaeotis,NA,
91,Artibeus_toltecus,NA,
92,Artibeus_watsoni,NA,
93,Asellia_patrizii,NA,
94,Asellia_tridens,NA,
95,Aselliscus_stoliczkanus,NA,
96,Aselliscus_tricuspidatus,NA,
97,Balantiopteryx_infusca,NA,
98,Balantiopteryx_io,NA,
99,Balantiopteryx_plicata,NA,
100,Balionycteris_maculata,NA,
101,Barbastella_barbastellus,1,
102,Barbastella_leucomelas,NA,
103,Bauerus_dubiaquercus,NA,
104,Brachyphylla_cavernarum,NA,
105,Brachyphylla_nana,NA,
106,Cardioderma_cor,NA,
107,Carollia_brevicauda,NA,
108,Carollia_castanea,NA,
109,Carollia_colombiana,NA,
110,Carollia_perspicillata,NA,
111,Carollia_sowelli,NA,
112,Carollia_subrufa,NA,
113,Casinycteris_argynnis,NA,
114,Centronycteris_centralis,NA,
115,Centronycteris_maximiliani,NA,
116,Centurio_senex,NA,
117,Chaerephon_aloysiisabaudiae,NA,
118,Chaerephon_ansorgei,NA,
119,Chaerephon_bemmeleni,NA,
120,Chaerephon_bivittatus,NA,
121,Chaerephon_bregullae,NA,
122,Chaerephon_chapini,NA,
123,Chaerephon_gallagheri,NA,
124,Chaerephon_jobensis,NA,
125,Chaerephon_johorensis,NA,
126,Chaerephon_leucogaster,NA,
127,Chaerephon_major,NA,
128,Chaerephon_nigeriae,NA,
129,Chaerephon_plicatus,NA,
130,Chaerephon_pumilus,NA,
131,Chaerephon_russatus,NA,
132,Chaerephon_shortridgei,NA,
133,Chaerephon_solomonis,NA,
134,Chaerephon_tomensis,NA,
135,Chalinolobus_dwyeri,NA,
136,Chalinolobus_gouldii,NA,
137,Chalinolobus_morio,NA,
138,Chalinolobus_neocaledonicus,NA,
139,Chalinolobus_nigrogriseus,NA,
140,Chalinolobus_picatus,NA,
141,Chalinolobus_tuberculatus,NA,
142,Cheiromeles_parvidens,NA,
143,Cheiromeles_torquatus,NA,
144,Chilonatalus_micropus,NA,
145,Chilonatalus_tumidifrons,NA,
146,Chiroderma_doriae,NA,
147,Chiroderma_improvisum,NA,
148,Chiroderma_salvini,NA,
149,Chiroderma_trinitatum,NA,
150,Chiroderma_villosum,NA,
151,Chironax_melanocephalus,NA,
152,Choeroniscus_godmani,NA,
153,Choeroniscus_minor,NA,
154,Choeroniscus_periosus,NA,
155,Choeronycteris_mexicana,NA,
156,Chrotopterus_auritus,NA,
157,Cistugo_lesueuri,NA,
158,Cistugo_seabrae,NA,
159,Cloeotis_percivali,NA,
160,Coelops_frithii,NA,
161,Coelops_robinsoni,NA,
162,Coleura_afra,NA,
163,Coleura_seychellensis,NA,
164,Cormura_brevirostris,NA,
165,Corynorhinus_mexicanus,NA,
166,Corynorhinus_rafinesquii,0,
167,Corynorhinus_townsendii,0,
168,Craseonycteris_thonglongyai,NA,
169,Cynomops_abrasus,NA,
170,Cynomops_greenhalli,NA,
171,Cynomops_mexicanus,NA,
172,Cynomops_paranus,NA,
173,Cynomops_planirostris,NA,
13,Cynopterus_brachyotis,NA,
174,Cynopterus_horsfieldii,NA,
175,Cynopterus_luzoniensis,NA,
176,Cynopterus_minutus,NA,
177,Cynopterus_nusatenggara,NA,
14,Cynopterus_sphinx,NA,
178,Cynopterus_titthaecheilus,NA,
179,Cyttarops_alecto,NA,
180,Desmodus_rotundus,NA,
181,Diaemus_youngi,NA,
182,Diclidurus_albus,NA,
183,Diclidurus_ingens,NA,
184,Diclidurus_isabellus,NA,
185,Diclidurus_scutatus,NA,
186,Diphylla_ecaudata,NA,
187,Dobsonia_anderseni,NA,
188,Dobsonia_beauforti,NA,
189,Dobsonia_chapmani,NA,
190,Dobsonia_crenulata,NA,
191,Dobsonia_emersa,NA,
192,Dobsonia_exoleta,NA,
193,Dobsonia_inermis,NA,
194,Dobsonia_magna,NA,
195,Dobsonia_minor,NA,
196,Dobsonia_moluccensis,NA,
197,Dobsonia_pannietensis,NA,
198,Dobsonia_peronii,NA,
199,Dobsonia_praedatrix,NA,
200,Dobsonia_viridis,NA,
201,Dyacopterus_brooksi,NA,
202,Dyacopterus_spadiceus,NA,
203,Ectophylla_alba,NA,
204,Eidolon_dupreanum,NA,
1,Eidolon_helvum,NA,
15,Emballonura_alecto,NA,
205,Emballonura_atrata,NA,
206,Emballonura_beccarii,NA,
207,Emballonura_dianae,NA,
208,Emballonura_furax,NA,
209,Emballonura_monticola,NA,
210,Emballonura_raffrayana,NA,
211,Emballonura_semicaudata,NA,
212,Emballonura_serii,NA,
213,Enchisthenes_hartii,NA,
214,Eonycteris_major,NA,
215,Eonycteris_robusta,NA,
16,Eonycteris_spelaea,NA,
216,Epomophorus_angolensis,NA,
217,Epomophorus_crypturus,NA,
2,Epomophorus_gambianus,NA,
